;for beyerdynamic 449350 with serial number 31047; Sensitivity: 15.3mV/Pa = -36.3dBV	
;Frequency[Hz]	rel. Level[dB]
50	1.0
60	0.8
70	0.7
80	0.6
90	0.5
100	0.5
110	0.5
120	0.4
130	0.4
140	0.3
150	0.3
160	0.3
170	0.3
180	0.2
190	0.2
200	0.2
210	0.2
220	0.2
230	0.2
240	0.2
250	0.2
260	0.2
270	0.1
280	0.1
290	0.1
300	0.1
310	0.1
320	0.1
330	0.1
340	0.1
350	0.1
360	0.1
370	0.1
380	0.1
390	0.0
400	0.0
420	-0.0
440	-0.1
470	-0.1
500	-0.1
530	-0.1
570	-0.1
600	-0.1
640	0.0
680	0.1
720	0.2
770	0.2
820	0.2
870	0.1
920	0.1
980	0.0
1050	-0.0
1110	0.1
1180	0.2
1260	0.2
1340	0.0
1420	-0.0
1510	-0.0
1610	0.0
1710	0.0
1820	0.1
1930	0.1
2050	0.1
2180	0.1
2320	0.2
2470	0.3
2630	0.3
2790	0.1
2970	0.0
3160	-0.2
3360	-0.1
3570	0.3
3800	0.9
4040	1.0
4290	1.0
4570	0.7
4860	0.6
5160	0.7
5490	0.9
5840	1.2
6210	1.2
6610	1.4
7030	1.6
7470	1.3
7950	1.7
8450	2.5
8990	2.4
9560	2.5
10160	3.2
10810	3.3
11490	3.2
12220	3.2
13000	3.3
13830	3.1
14700	3.0
15640	3.0
16630	2.8
17690	2.5
18810	2.4
19980	2.1
